new entry "Cone_DragonSoul_Knockdown"
type "SkillData"
data "SkillType" "Cone"
data "ForGameMaster" "Yes"
data "Ability" "Polymorph"
data "Tier" "Starter"
data "Requirement" "None"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Damage Multiplier" "60"
data "DamageType" "Physical"
data "SkillProperties" "KNOCKED_DOWN,100,1"
data "Range" "6"
data "Angle" "45"
data "DeathType" "Physical"
data "SurfaceType" "None"
data "IgnoreCursed" "Yes"
data "SurfaceStatusChance" "0"
data "SurfaceGrowStep" "10"
data "SurfaceGrowInterval" "5"
data "TargetConditions" "!Dead;!Ally"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "Skill_Warrior_GroundSmash"
data "DisplayName" "Cone_DragonSoul_Knockdown_DisplayName"
data "DisplayNameRef" "Dragon Knock"
data "Description" "Cone_DragonSoul_Knockdown_Description"
data "DescriptionRef" "|Shout with the dragon force, damaging all non-allied characters in a cone in front of you for [1] damage and knocking them down. Clears non-cursed surfaces and clouds.|"
data "StatsDescription" "Cone_DragonSoul_Knockdown_StatsDescription"
data "StatsDescriptionRef" "Cone angle: [2]<br>Length: [3]"
data "StatsDescriptionParams" "Damage;Angle;Range;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Weapon_Root_01:Dummy_Root;RS3_FX_Skills_Earth_Prepare_Weapon_Body_01:Dummy_BodyFX"
data "CastAnimation" "skill_attack_power_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Warrior_GroundSmash_Cast_01,detach:Dummy_CastFX:cast;RS3_FX_SubEffects_FireTrail_02:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Skills_Earth_Attack_Power_01_Cast_Root_01:Dummy_Root"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "Polymorph 0"
data "BackStart" "12"
data "OverrideMinAP" "Yes"
data "CycleConditions" "Enemy"

